 L'Eau d'Issey Pure Issey Miyake for women ,fresh dissey leau pure lily water jasmine flowers white wet warm classic watery aquatic nose 
Colours of Love Guerlain for women ,fruity girly fruit grapefruit rose violet long heart fresh soft passion kiwi floral scents 
Concentre d`Orange Verte Hermes for women and men ,orange concentre verte dorange citrus fresh green longevity patchouli cedar basil beautiful refreshing earthy fruit 
Condensed Milk Demeter Fragrance for women and men ,milk condensed coconut sugar doesnt fresh sweetened warm tried happy somewhere yogurt suntan lotion glad 
Connexion Lancome for women ,vanilla discontinued forgotten perfect florals creamy fruity soft hint lovely nearly old friend hear 
Contessa di Castiglione Lady Gold Acqua di Genova for women ,contessa castiglione lady gold floral fruity 2010s top black currant white peach freesia rose 
Contessa di Castiglione Lady Silver Acqua di Genova for women ,contessa castiglione lady silver floral 2010s top bergamot cardamom lotus lemon peel turkish rose 
Contradiction Calvin Klein for men ,contradiction longevity citrus remember juice liked man sweet bad without strong fresh work 
Contradiction Calvin Klein for women ,contradiction floral eucalyptus unique summer fresh sweet bit powdery different doesnt ive woody ago 
Coque d'Or (2014) Guerlain for women ,euros 17000 coque dor bottles formula late hong kong moss metallic fruity fruit diaghilev wow 
Coque d'Or Guerlain for women ,peach vintage similar mitsouko oakmoss perhaps floral dense rose iris carnation dor 1937 jacques baccarat 
Coriolan Guerlain for men ,coriolan chypre classic oakmoss patchouli men citrus vetiver elegant spicy bit mascu green 
Coromandel Eau de Parfum Chanel for women and men ,coromandel patchouli white sweet chocolate nose strong top vanilla angel amber powdery 
Cosmopolitan Coctail Demeter Fragrance for women ,sweet drink becomes lot honey tried drinkand grapefruit outcome sour drinkable enough close cloying therefore 
Costa Azzurra Tom Ford for women and men ,costa azzurra lavender driftwood longevity dry summer fresh citrus unique seaweed interesting sea 
Cotton Candy Demeter Fragrance for women ,cotton candy long vanilla scents fun sweet real imatacarnivalandjustwalkedpastthecottoncandybooth air try prince matchabelli discontinuedso see 
Couleur Kenzo Jaune-Yellow Kenzo for women ,lemony sunny spring citrus flagrance couleur yellow orange summer sharp vanilla citrusy freshness real 
Couleur Kenzo Rose-Pink Kenzo for women ,rose couleur pink bit sweet spring fresh mind floral fruity spicy without rosy certainly thing 
Couleur Kenzo Violet Kenzo for women ,black sweet violet light currant couleur soft spring lovely longevity current along blueberry want see 
Cour des Senteurs Versailles Guerlain for women ,cour senteurs versailles floral green nose thierry wasser top bergamot galbanum cyclamen jasmine freesia 
Couture Jasmine Versace for women ,jasmine rose versace eros white couture fresh freesia femme composition lemon blossom additional calone mis 
Couture Tuberose Versace for women ,versace eros white femme composition lemon blossom jasmine additional calone blind glad beautiful tuberose bit 
Couture Violet Versace for women ,violet versace couture musk eros white sweetened heliotrope mimosa spring femme composition lemon blossom jasmine 
Crache  de Flammes Serge Lutens for women and men ,rose flammes metallic crache musk fresh white remains dainty greenness however phase far sillage longevity 
Cranberry Demeter Fragrance for women and men ,cranberry layering tart truetolife added sugar spice isnt sauce candles potpourri fresh crisp berries themselvesprovides 
Crave Calvin Klein for men ,fresh summer citrus longevity starfish crave spicy sweet say different musk sillage 
Crayon Demeter Fragrance for women and men ,crayon crayola crayons play doh doesnt kinda gets idea sweet fruit nectarine melonit travelling 
Creed Pour En ts Creed for women and men ,kids apple seriously bet cumin civet fruity floral child sniffed trigger right please 
Creme Brulee Demeter Fragrance for women and men ,crayola crayons bet absolutely delightful inspired wax colors children flowers available 100 bottles care 
Crescendo Lanvin for women ,tuberose incense carnation spicy huge beautiful bomb classic soapy fond day goth gentleman orris careful 
Cristalle Eau de Parfum Chanel for women ,cristalle oakmoss vetiver green melon fresh peach cold different strong white feminine sweet tried 
Cristalle Eau de Toilette Chanel for women ,cristalle green fresh cold citrus summer floral sharp lemon clean perfect oakmoss crisp tried 
Cristalle Eau Verte Chanel for women ,cristalle fresh green lemon verte summer citrus floral clean perfect bit refreshing white light magnolia 
Croquembouche Demeter Fragrance for women and men ,coconut croquembouche caramel buttery creamy pastry accurate yummy bit especially becomes dough nougat custard fresh 
Cruel Gardenia Guerlain for women ,gardenia cruel ylang floral white powdery long beautiful musk lovely soft violet vanilla 
Cruise Collection - Escale a Portofino Christian Dior for women ,fresh summer citrus escale elegant sharp orange perfect citrusy light bergamot feminine lemon refreshing 
Cruise Collection Escale a Parati Christian Dior for women and men ,parati escale classic citrus fresh old edc tonka cruise say feminine unisex mascu powdery summer 
Cruise Collection Escale a Pondichery Christian Dior for women ,tea summer fresh pondichery escale green cardamom jasmine hot bit light citrus lasting sweet 
Cruise Collection Escale Aux Marquises Christian Dior for women ,fresh escale spicy marquises summer pepper citrusy citrus aux floral soft cruise tiare sweet flower 
Crystal Noir Versace for women ,coconut crystal noir creamy gardenia sexy dark sweet spicy versace warm bit strong beautiful 
Cucumber Demeter Fragrance for women and men ,cucumber exactly says realistic lovely fresh perfect hot layering moderate sillage greatest longevity max theres 
Cuir Beluga Guerlain for women and men ,vanilla leather cuir beluga soft sweet suede powdery amber heliotrope creamy tried white smooth 
Cuir Blanc Givenchy for women and men ,linterdit floral aldehyde 1957 nose fabron top aldehydes spices mandarin orange peach bergamot strawberry 
Cuir Cannage Christian Dior for women and men ,leather cuir cannage iris floral animalic orange blossom white opening lot knize ten bit 
Cuir de Lancome Lancome for women ,leather cuir vanilla sweet russie elegant soft floral bit feminine styrax suede longevity 
Cuir de Russie Creed for men ,leather cuir russie ambergris birch neroli styrax royal english salty citrus far available discontinued offered 
Cuir de Russie Eau de Parfum Chanel for women ,leather cuir beautiful russie woody drydown warm animalic strong doesnt next purchase old present 
Cuir Mauresque Serge Lutens for women and men ,leather cuir mauresque sweet civet dry orange spicy see cumin say quality knize ten done 
Cuir Noir Giorgio Armani for women and men ,leather cuir noir rose vanilla opening longevity bit prive certainly dark sophisticated please doesnt box 
Cuir Obscur Byredo for women and men ,leather rose fine nutmeg smoky musk stunning although far ardent men amaretto forward throughout longevity 
Cuir Yves Saint Laurent for women and men ,tuxedo november presents luxury vestiaire includes five releases caban caftan saharienne trench wardrobe inspired iconic 
Cupcake Demeter Fragrance for women and men ,cupcake leave vanilla vote especially dislike fragrantica change system allow voting actual oriental men 
Cyclades Lancome for women ,sweet floral fresh cant lot beautiful vanilla opening summer cyclades absolutely doesnt sad flowers 
Cypres Musc Creed for men ,musc soapy cypress cypres green pine coniferous grown wonderful thats covered put enjoying enough 
Cypress Demeter Fragrance for women and men ,cypress trees christmas cucumber woodsy green put nose actual pine firs exactly recreation realistic 
Cyrus Yves de Sistelle for men ,thallium cyrus recently discovered far seems pineapple different see came theres 
Daffodil Demeter Fragrance for women and men ,daffodils daffodil green floral absolute flowers lovely violets isnt poem always extra special methis doesnt 
Dahlia Divin  Givenchy for women ,floral dahlia white divin sweet jasmine plum patchouli flowers beautiful bit woody sandalwood elegant warm 
Dahlia Divin Black Ball   Edition Givenchy for women ,dahlia divin black ball alicia keys contains dedicated whose upcoming holidays launches special collaboration 
Dahlia Divin Eau de Toilette Givenchy for women ,fruity dahlia divin cap floral peach sweet similar feminine orange without tried try 
Dahlia Divin Le Nectar de Parfum Givenchy for women ,sweet divin dahlia vanilla warm nectar jasmine see mimosa bit beautiful tonka floral sandalwood fresh 
Dahlia Divin Nude Eau de Parfum Givenchy for women ,nude light floral sweet dahlia divin wait doesnt subtle fruit jasmine secret stays close 
Dahlia Noir Eau de Toilette Givenchy for women ,rose dahlia noir peach pink sweet powdery vanilla pepper light floral musk amber fresh citrus 
Dahlia Noir Givenchy for women ,powdery noir powder rose dahlia baby iris bit patchouli floral strong sweet pink pepper soft 
Dahlia Noir Le Bal Eau de Parfum Givenchy for women ,weak bottles sick flankers ago designers expensive water 90s younger course money flanker dahlia 
Dahlia Noir Le Bal Eau de Toilette Givenchy for women ,dahlia divin nude white floral fruity top apricot orange blossom jasmine sambac osmanthus rose 
Daim Blond Serge Lutens for women and men ,leather suede daim blond apricot sweet soft iris fruity musk longevity light opening dry 
Daisy Anniversary Edition Marc Jacobs for women ,daisy violet composed sparkly floralwoody fresh feminine devoted sophisticated seductive dazzling woman strives simplicity 
Daisy Black Edition Marc Jacobs for women ,daisy fresh floral black violet pretty vanilla sweet jasmine power strawberry beautiful stronger white 
Daisy Bloom Marc Jacobs for women ,daisies daisy floral lot grass violet want fresh strong flavor leaves perfect walk mixture smelt 
Daisy Blush  Marc Jacobs for women ,daisy blush sweet bottles fresh summer beautiful happy sillage pretty half try spritz 
Daisy Delight Marc Jacobs for women ,daisy fresh floral fruity strong light apple sandalwood delight blush dream warm longevity becomes spring 
Daisy Demeter Fragrance for women ,daisy green fresh flower floral innocent daisies sweet sitting field true water stems soft natural 
Daisy Dream Blush  Marc Jacobs for women ,daisy blush fresh dream soft bottles far violet pink sweet flowers delicate bit 
Daisy Dream Forever Marc Jacobs for women ,daisy dream sweet light forever pretty bit enough fruity strong beautiful doesnt juicy cant try 
